
Count: 83  Balance: 98.05299999999997  Reward: -1414.9500000000003  Higest ballance 100.00399999999998  Max_lose: -1.9980000000000047  Max_profit: 0.03699999999999193  Number of losses: 4  Number of wins: 7
Count: 84  Balance: 100.012  Reward: -1415.9950000000001  Higest ballance 100.04299999999999  Max_lose: -0.021000000000000796  Max_profit: 0.03100000000000591  Number of losses: 4  Number of wins: 7
Count: 85  Balance: 100.00200000000002  Reward: -1409.998  Higest ballance 100.97800000000004  Max_lose: -0.9959999999999951  Max_profit: 0.9990000000000236  Number of losses: 5  Number of wins: 10
Count: 86  Balance: 100.03799999999998  Reward: -1417.962  Higest ballance 100.03799999999998  Max_lose: -0.012999999999991019  Max_profit: 0.038000000000010914  Number of losses: 2  Number of wins: 6
Count: 87  Balance: 100.98099999999998  Reward: -1409.027  Higest ballance 100.98399999999998  Max_lose: -0.010000000000005116  Max_profit: 1.0030000000000001  Number of losses: 6  Number of wins: 9
Count: 88  Balance: 101.93299999999996  Reward: -1405.067  Higest ballance 101.96700000000001  Max_lose: -0.01999999999999602  Max_profit: 1.0020000000000095  Number of losses: 6  Number of wins: 10
Count: 89  Balance: 100.04999999999997  Reward: -1421.95  Higest ballance 100.04999999999997  Max_lose: -0.000999999999990564  Max_profit: 0.02199999999999136  Number of losses: 1  Number of wins: 6
Count: 90  Balance: 102.04100000000001  Reward: -1421.959  Higest ballance 102.04100000000001  Max_lose: -0.008000000000009777  Max_profit: 2.0019999999999953  Number of losses: 1  Number of wins: 6
Count: 91  Balance: 100.00699999999999  Reward: -1427.999  Higest ballance 100.00999999999999  Max_lose: -0.0030000000000001137  Max_profit: 0.012999999999991019  Number of losses: 2  Number of wins: 3
Count: 92  Balance: 100.05700000000003  Reward: -1416.9429999999998  Higest ballance 100.07000000000002  Max_lose: -0.028000000000005798  Max_profit: 0.03100000000000591  Number of losses: 1  Number of wins: 8
Count: 93  Balance: 102.03800000000001  Reward: -1408.962  Higest ballance 102.03800000000001  Max_lose: -0.0020000000000095497  Max_profit: 1.9969999999999999  Number of losses: 2  Number of wins: 8
Count: 94  Balance: 98.92499999999998  Reward: -1416.075  Higest ballance 100  Max_lose: -0.9919999999999902  Max_profit: 0.015999999999991132  Number of losses: 7  Number of wins: 8
Count: 95  Balance: 88.00499999999998  Reward: -1423.998  Higest ballance 100  Max_lose: -10.99600000000001  Max_profit: 0.01100000000000989  Number of losses: 5  Number of wins: 5
Count: 96  Balance: 100.00999999999998  Reward: -1433.99  Higest ballance 100.00999999999998  Max_lose: -0.0040000000000048885  Max_profit: 0.013999999999981583  Number of losses: 1  Number of wins: 2
Count: 97  Balance: 86.99900000000005  Reward: -1435.987  Higest ballance 100  Max_lose: -12.990999999999971  Max_profit: 0.014000000000010004  Number of losses: 2  Number of wins: 3
Count: 98  Balance: 100.001  Reward: -1424.999  Higest ballance 100.00500000000001  Max_lose: -0.0030000000000001137  Max_profit: 0.0030000000000143245  Number of losses: 2  Number of wins: 4
Count: 99  Balance: 98.96400000000001  Reward: -1426.035  Higest ballance 100  Max_lose: -0.9989999999999952  Max_profit: 0.008000000000009777  Number of losses: 3  Number of wins: 4
Count: 100  Balance: 98.99499999999996  Reward: -1410.999  Higest ballance 100  Max_lose: -1.0010000000000048  Max_profit: 0.007000000000005002  Number of losses: 5  Number of wins: 8
Count: 101  Balance: 99.99899999999998  Reward: -1413.0009999999997  Higest ballance 100.03199999999995  Max_lose: -0.016999999999981696  Max_profit: 0.014999999999986358  Number of losses: 5  Number of wins: 9
Count: 102  Balance: 99.996  Reward: -1408.004  Higest ballance 100.98499999999999  Max_lose: -1.0050000000000097  Max_profit: 0.9949999999999903  Number of losses: 3  Number of wins: 8
Count: 103  Balance: 99.97200000000004  Reward: -1419.028  Higest ballance 100  Max_lose: -0.01999999999999602  Max_profit: 0.009000000000014552  Number of losses: 3  Number of wins: 5
Count: 104  Balance: 99.97800000000001  Reward: -1413.027  Higest ballance 100.025  Max_lose: -0.036000000000015575  Max_profit: 0.025000000000005684  Number of losses: 4  Number of wins: 7
Count: 105  Balance: 97.983  Reward: -1424.018  Higest ballance 100.006  Max_lose: -1.0060000000000002  Max_profit: 0.006000000000000227  Number of losses: 4  Number of wins: 4
Count: 106  Balance: 100.01599999999999  Reward: -1418.9840000000002  Higest ballance 100.01599999999999  Max_lose: -0.9899999999999949  Max_profit: 0.9980000000000047  Number of losses: 3  Number of wins: 6
Count: 107  Balance: 100.038  Reward: -1425.962  Higest ballance 100.038  Max_lose: 0  Max_profit: 0.01999999999999602  Number of losses: 0  Number of wins: 5
Count: 108  Balance: 89.97799999999998  Reward: -1467.9980000000003  Higest ballance 101.00899999999999  Max_lose: -10.994000000000014  Max_profit: 1.0089999999999861  Number of losses: 3  Number of wins: 4
Count: 109  Balance: 98.00600000000004  Reward: -1418.994  Higest ballance 100.01  Max_lose: -1.0019999999999953  Max_profit: 0.010000000000005116  Number of losses: 3  Number of wins: 5
Count: 110  Balance: 124.99299999999998  Reward: -1397.008  Higest ballance 125.016  Max_lose: -0.016000000000019554  Max_profit: 25.01100000000001  Number of losses: 3  Number of wins: 5
Count: 111  Balance: 99.98700000000001  Reward: -1428.013  Higest ballance 100.01  Max_lose: -0.021000000000000796  Max_profit: 0.010000000000005116  Number of losses: 2  Number of wins: 3
Count: 112  Balance: 100.02499999999996  Reward: -1417.9750000000001  Higest ballance 100.02499999999996  Max_lose: -0.9950000000000188  Max_profit: 0.9979999999999905  Number of losses: 3  Number of wins: 7
Count: 113  Balance: 99.97899999999998  Reward: -1423.0210000000002  Higest ballance 100.00099999999999  Max_lose: -0.018000000000000682  Max_profit: 0.0040000000000048885  Number of losses: 2  Number of wins: 4
Count: 114  Balance: 76.06000000000003  Reward: -1419.9149999999997  Higest ballance 100  Max_lose: -28.006  Max_profit: 6.0090000000000146  Number of losses: 5  Number of wins: 11
Count: 115  Balance: 128.043  Reward: -1390.9570999999999  Higest ballance 128.043  Max_lose: -0.004999999999981242  Max_profit: 26.013000000000005  Number of losses: 2  Number of wins: 8
Count: 116  Balance: 72.983  Reward: -1441.012  Higest ballance 100.01599999999999  Max_lose: -27.01399999999998  Max_profit: 0.015999999999991132  Number of losses: 5  Number of wins: 6
Count: 117  Balance: 101.94299999999997  Reward: -1412.0380000000002  Higest ballance 101.95799999999998  Max_lose: -0.06399999999999295  Max_profit: 1.9980000000000047  Number of losses: 3  Number of wins: 8
Count: 118  Balance: 98.96499999999996  Reward: -1416.0349999999999  Higest ballance 100.00199999999998  Max_lose: -0.9969999999999999  Max_profit: 0.013999999999995794  Number of losses: 7  Number of wins: 8
Count: 119  Balance: 101.03300000000002  Reward: -1424.968  Higest ballance 101.03300000000002  Max_lose: -1.0009999999999906  Max_profit: 2.0010000000000048  Number of losses: 1  Number of wins: 4
